154.63	101.22	87.25
166.77	101.43	89.25
179.4	101.33	92
154.23	91.56	92.75
156.37	90.78	93.25
180.99	89.81	90.75
193.62	89.24	91.75
208.7	88.08	89.75
220.08	88.04	91.25
232.31	87.21	89.75
266.72	75.69	89
255.88	76.28	87.5
244.24	76.23	81.75
232.43	76.47	85.25
219.75	77.25	87.25
207.75	77.22	91
192.94	77.7	92.5
179.29	70.48	89.75
166.44	78.15	92.25
153.82	78.31	92.25
139.53	79.28	90
127.99	79.5	87.75
116.72	79.8	90.5
104.99	80.46	80.75
89.98	80.87	90.25
79.38	79.9	88.25
44.22	71.71	92
55.58	71.24	84.5
67.08	70.86	84
79.34	70.24	87.5
90.13	70.34	88
105.08	70.2	89
116.06	70.05	90
127.65	69.82	86
138.96	70.1	88.5
152.59	69.25	87.5
164.57	69.2	87
179.1	68.54	88
193.67	67.92	85.5
206.78	68.44	86
219.65	67.69	88
232.19	67.31	88
243.03	66.93	88
254.96	66.22	82.5
265.13	66.55	81.5
42.99	60.83	86.5
55.91	60.78	82
66.8	60.64	73.5
79.48	60.64	86
90.13	60.02	87
103.33	59.74	87
115.73	59.64	86
127.04	59.41	85.5
138.63	59.07	86
151.74	58.51	86
163.37	58.36	86
178.72	58.03	78
193.25	57.8	87
206.92	57.09	85
220.13	56.9	83
232.05	56.14	86.5
242.75	56.05	86.5
30.83	53.92	82.5
42.76	53.58	85.5
55.72	53.54	87
67.74	53.11	84.5
78.81	52.17	87
90.41	52.31	84
104.8	51.46	82.5
117.01	50.61	87
127.99	50.56	84.5
139.67	49.56	86.5
153.54	49.61	84
164.61	49.37	87
178.34	48.31	83.5
194.29	48.28	81.5
207.3	48	84.5
219.7	47.81	80.5
231.72	47.1	84
243.66	46.44	83.5
30.97	45.68	70
43.32	44.88	84.5
55.67	43.84	86
67.51	43.84	88.5
79.62	42.42	89.5
90.65	41.9	88
104.8	41.09	89
116.49	41	86.5
127.89	40.76	83
139.39	39.67	87.5
153.21	39.58	88.5
164.57	39.01	80
178.34	38.73	84.5
193.72	38.67	84
207.11	38.11	77.5
219.75	38.06	80.5
231.48	37.73	86
243.46	37.59	87
20.32	32.05	88
30.83	31.77	89.5
43.28	31.34	86.5
55.53	30.96	82
67.13	30.92	86
79.29	30.68	82
89.98	30.06	88.5
104.56	29.59	90.5
116.01	29.17	79
127.94	28.88	91
139.25	28.6	85
153.11	28.55	85.5
164.14	28.46	81.5
177.96	28.27	85
193.72	28.08	0
205.79	28.27	88
220.03	28.65	86.5
230.82	28.79	86
243.41	29.12	82
18	20.17	84
30.59	19.84	84.5
43.51	19.61	87.5
54.96	19.42	89.5
66.89	19.61	80
78.77	19.23	89
89.89	18.9	84
105.27	18.89	83
115.97	18.9	86
127.13	19.13	88.5
139.15	18.8	85.5
153.26	18.9	82.5
163.86	18.75	91
177.39	19.42	83
193.01	18.9	87
17.58	9.15	0
30.59	9.19	90
43.23	9.05	87
55.2	9.24	88
66.18	8.96	84
78.63	9.01	81
89.46	9.19	82.5
103.42	9.15	86.5
115.63	9.43	81
127.61	9.24	84
138.87	9.29	77.5
152.64	9.76	86.5
163.62	9.76	83
30.55	-0.6	80.5
43.65	-0.46	88
55.15	-0.27	88.5
66.46	-0.55	89
78.15	-0.46	89.5
89.23	-0.22	80
103.47	-0.32	85.5
115.35	-0.18	79
127.13	0.01	88
138.92	-0.22	65
152.78	-0.13	75
163.19	-0.32	80.5
177.53	-0.03	0
30.55	-11.25	82
43.37	-10.73	84.5
54.96	-10.21	87
66.56	-9.4	82
77.68	-9.5	88
89.04	-9.55	71
103.38	-9.45	84
115.07	-9.5	82
126.9	-9.02	80.5
138.49	-9.21	87
152.45	-8.88	85
163.1	-8.6	85.5
176.63	-9.21	82.5
30.5	-19.91	91
43.56	-19.81	87
54.63	-18.96	77.5
66.09	-19.81	88
77.3	-19.48	82
88.33	-19.34	90
102.86	-19.39	82.5
114.59	-19.15	76.5
126.33	-19.2	84
138.11	-19.29	84
152.07	-18.4	62
162.67	-18.11	67.5
30.59	-30.37	83.5
43.8	-29.94	90.5
54.49	-29.61	57.5
66.65	-30.13	81
77.44	-30.04	90
88.9	-30.04	95
102.62	-29.47	77.5
114.83	-29.33	64.5
126.14	-28.9	75
137.73	-28.95	69.5
151.27	-28.62	89
162.44	-28.38	90.5
102.43	-39.03	78
113.98	-39.22	86.5
125.15	-39.03	84.5
137.07	-39.41	69
151.22	-39.55	90
113.41	-50.62	82
125.43	-50.53	83.5
137.07	-50.62	94
150.75	-50.8	75
150.61	-60.66	91.5
