158.6;-24.4
127.5;-0.2
121.3;35.3
105.2;36.6
23.65;13.5
17;17
25;21.2
20.1;23.9
15.85;22.1
16.55;25.4
58.7;48.8
82.3;79.6
82.6;69.1
97;73.2
99;81.3
85.3;47.1
88.2;-4
39.1;-12.9
201.2;65.1
146;88.7
33.7;5.85
136.7;74.6
150.2;43.5
154.8;36.1
161.2;48.5
150.2;61.3
173.4;55.2
173.4;36
176;39.9
188.3;31.2
196.8;63.3
214.1;49.7
217.5;45
212.2;31.6
225.6;25.9
222.8;42
238.7;45.6
26.5;-14.8
248;52.5
231;76.5
182.2;75.3
173.6;83
169.8;82.7
167.3;77.5
63.2;8.7
165.5;79.2
157;80.9
157.8;84
135.7;-52.3
156;-35.8
14.5;23.5
218;68
183.4;62.6
19.2;25.95
18.9;30.55
21.75;32.9
20;34.9
22;36.9
25.5;36.6
24.1;28.85
25.7;30.5
27.7;32.15
160.1;-33
28.8;30
217;38.2
27.3;27.75
30.85;31.35
29.5;34.05
34.55;30.5
37.3;30.5
36.8;36.7
41.5;37.2
43.7;40.2
31.2;43.3
161.2;-28.8
29.4;41.35
29.4;45.55
32.75;46.55
37.05;49.05
48.85;44.2
51.6;50.2
51.6;55.3
51.8;52.5
53.15;50.15
61.3;53.9
55.25;62.85
50.15;59.55
49.7;61.9
59.1;59
57.9;65.1
59.7;64.2
74.6;61
74.6;70.8
77.3;74.1
151.2;-24.6
75.6;78.5
77.2;79.9
79.7;73.5
87.7;69.2
89.5;72.1
89.4;74.8
87;81.7
92;74.6
94.5;74.8
97.1;81.6
145;-26.3
105.6;81.3
103.4;76.3
105.8;71
96.7;67.5
94.2;62.9
91.6;62.9
89.6;65.2
85.1;62.6
89.3;57.8
91.6;58.15
138.2;-31.1
94.6;60.1
97.8;60.3
85.25;54.1
82.5;53.5
80;52.5
82.9;46.7
75;43.3
73;44.3
72.5;38.8
78.25;41.4
119.8;-32.7
85.4;43.2
89.3;47.8
91.7;46.7
121.6;-24.8
109.3;-12.4
134.6;-50.6
121;-5.5
127;-23.8
29;10.2
100.8;58.7
105.2;65.9
116.2;55
128.2;67.3
127.7;64
124.5;72
107.6;-0.3
122.3;74.4
117.1;77.8
116;79.8
123.2;77.4
127.9;77
132.8;77.9
133.3;80.9
134.9;77.6
138;77.7
139.1;80.7
100;-1
140.5;80
145;76.4
138.5;69.7
143;66
144;68.6
137.5;64.7
142.3;62.9
148.4;65.1
143.5;55.5
140.3;53.7
67.3;-13.1
139.3;43.4
143.7;38.9
154.7;46.1
156.2;48.2
163.2;46.1
159.5;49.5
152.2;52.1
147.6;51.4
150.8;56.8
62.2;-14.2
159.2;56.4
157.5;54.7
156.1;58.5
150.6;64.3
146.5;60.2
156.1;65.2
157.3;70.7
160.9;73.3
163.9;73.6
166.2;71.9
63.8;-7.8
164.8;70.2
